"Tabela 793 - População residente"
"Variável - População residente (Pessoas)"
"Nível","Cód.","Município","Ano"
"MU","1304062","Tabatinga (AM)","45293"
"MU","1304104","Tapauá (AM)","19453"
"MU","1304203","Tefé (AM)","62920"
"MU","1304237","Tonantins (AM)","19090"
"MU","1304260","Uarini (AM)","9859"
"MU","1304302","Urucará (AM)","15716"
"MU","1304401","Urucurituba (AM)","17184"
"MU","1400027","Amajari (RR)","7586"
"MU","1400050","Alto Alegre (RR)","14386"
"MU","1400100","Boa Vista (RR)","249853"
"MU","1400159","Bonfim (RR)","10231"
"MU","1400175","Cantá (RR)","11119"
"MU","1400209","Caracaraí (RR)","17981"
"MU","1400233","Caroebe (RR)","7086"
"MU","1400282","Iracema (RR)","5863"
"MU","1400308","Mucajaí (RR)","12546"
"MU","1400407","Normandia (RR)","7118"
"MU","1400456","Pacaraima (RR)","8640"
"MU","1400472","Rorainópolis (RR)","24466"
"MU","1400506","São João da Baliza (RR)","5727"
"MU","1400605","São Luiz (RR)","5720"
"MU","1400704","Uiramutã (RR)","7403"
"MU","1500107","Abaetetuba (PA)","132222"
"MU","1500131","Abel Figueiredo (PA)","6592"
"MU","1500206","Acará (PA)","47923"
"MU","1500305","Afuá (PA)","31183"
"MU","1500347","Água Azul do Norte (PA)","28658"
"MU","1500404","Alenquer (PA)","52661"
"MU","1500503","Almeirim (PA)","30903"
"MU","1500602","Altamira (PA)","92105"
"MU","1500701","Anajás (PA)","24942"
"MU","1500800","Ananindeua (PA)","484278"
"MU","1500859","Anapu (PA)","17787"
"MU","1500909","Augusto Corrêa (PA)","37086"
"MU","1500958","Aurora do Pará (PA)","21239"
"MU","1501006","Aveiro (PA)","18830"
"MU","1501105","Bagre (PA)","18580"
"MU","1501204","Baião (PA)","26190"
"MU","1501253","Bannach (PA)","3812"
"MU","1501303","Barcarena (PA)","84560"
"MU","1501402","Belém (PA)","1408847"
"MU","1501451","Belterra (PA)","12707"
"MU","1501501","Benevides (PA)","43282"
"MU","1501576","Bom Jesus do Tocantins (PA)","13145"
"MU","1501600","Bonito (PA)","11279"
"MU","1501709","Bragança (PA)","101728"
"MU","1501725","Brasil Novo (PA)","18749"
"MU","1501758","Brejo Grande do Araguaia (PA)","7444"
"MU","1501782","Breu Branco (PA)","47069"
"MU","1501808","Breves (PA)","94458"
"MU","1501907","Bujaru (PA)","22535"
"MU","1501956","Cachoeira do Piriá (PA)","17649"
"MU","1502004","Cachoeira do Arari (PA)","18995"
"MU","1502103","Cametá (PA)","110323"
"MU","1502152","Canaã dos Carajás (PA)","23757"
"MU","1502202","Capanema (PA)","61350"
"MU","1502301","Capitão Poço (PA)","50839"
"MU","1502400","Castanhal (PA)","152126"
"MU","1502509","Chaves (PA)","19368"
"MU","1502608","Colares (PA)","10981"
"MU","1502707","Conceição do Araguaia (PA)","45267"
"MU","1502756","Concórdia do Pará (PA)","21422"
"MU","1502764","Cumaru do Norte (PA)","10452"
"MU","1502772","Curionópolis (PA)","17769"
"MU","1502806","Curralinho (PA)","25388"
"MU","1502855","Curuá (PA)","11928"
"MU","1502905","Curuçá (PA)","33768"
"MU","1502939","Dom Eliseu (PA)","38150"
"MU","1502954","Eldorado do Carajás (PA)","28554"
"MU","1503002","Faro (PA)","17253"
"MU","1503044","Floresta do Araguaia (PA)","14964"
"MU","1503077","Garrafão do Norte (PA)","24619"
"MU","1503093","Goianésia do Pará (PA)","27166"
"MU","1503101","Gurupá (PA)","24384"
"MU","1503200","Igarapé-Açu (PA)","33778"
"MU","1503309","Igarapé-Miri (PA)","54673"
"MU","1503408","Inhangapi (PA)","9592"
"MU","1503457","Ipixuna do Pará (PA)","39563"
"MU","1503507","Irituia (PA)","29746"
"MU","1503606","Itaituba (PA)","118194"
"MU","1503705","Itupiranga (PA)","42002"
"MU","1503754","Jacareacanga (PA)","37073"
"MU","1503804","Jacundá (PA)","51511"
"MU","1503903","Juruti (PA)","33775"
"MU","1504000","Limoeiro do Ajuru (PA)","23284"
"MU","1504059","Mãe do Rio (PA)","27614"
"MU","1504109","Magalhães Barata (PA)","7650"
"MU","1504208","Marabá (PA)","196468"
"MU","1504307","Maracanã (PA)","28296"
"MU","1504406","Marapanim (PA)","26651"
"MU","1504422","Marituba (PA)","93416"
"MU","1504455","Medicilândia (PA)","22624"
"MU","1504505","Melgaço (PA)","17845"
"MU","1504604","Mocajuba (PA)","23258"
"MU","1504703","Moju (PA)","63821"
"MU","1504802","Monte Alegre (PA)","61350"
"MU","1504901","Muaná (PA)","28796"
"MU","1504950","Nova Esperança do Piriá (PA)","22447"
"MU","1504976","Nova Ipixuna (PA)","14086"
"MU","1505007","Nova Timboteua (PA)","12103"
"MU","1505031","Novo Progresso (PA)","21598"
"MU","1505064","Novo Repartimento (PA)","51645"
"MU","1505106","Óbidos (PA)","46793"
"MU","1505205","Oeiras do Pará (PA)","25420"
"MU","1505304","Oriximiná (PA)","55175"
"MU","1505403","Ourém (PA)","15152"
"MU","1505437","Ourilândia do Norte (PA)","20415"
"MU","1505486","Pacajá (PA)","38365"
"MU","1505494","Palestina do Pará (PA)","7156"
"MU","1505502","Paragominas (PA)","90819"
"MU","1505536","Parauapebas (PA)","133298"
"MU","1505551","Pau D'Arco (PA)","6466"
"MU","1505601","Peixe-Boi (PA)","7679"
"MU","1505635","Piçarra (PA)","12707"
"MU","1505650","Placas (PA)","17898"
"MU","1505700","Ponta de Pedras (PA)","24276"
"MU","1505809","Portel (PA)","45586"
"MU","1505908","Porto de Moz (PA)","26489"
"MU","1506005","Prainha (PA)","26436"
"MU","1506104","Primavera (PA)","10463"
"MU","1506112","Quatipuru (PA)","12620"
"MU","1506138","Redenção (PA)","64583"
"MU","1506161","Rio Maria (PA)","16993"
"MU","1506187","Rondon do Pará (PA)","45016"
"MU","1506195","Rurópolis (PA)","32950"
"MU","1506203","Salinópolis (PA)","37066"
"MU","1506302","Salvaterra (PA)","17077"
"MU","1506351","Santa Bárbara do Pará (PA)","13714"
"MU","1506401","Santa Cruz do Arari (PA)","5921"
"MU","1506500","Santa Izabel do Pará (PA)","51763"
"MU","1506559","Santa Luzia do Pará (PA)","18123"
"MU","1506583","Santa Maria das Barreiras (PA)","16012"
"MU","1506609","Santa Maria do Pará (PA)","22147"
"MU","1506708","Santana do Araguaia (PA)","49053"
"MU","1506807","Santarém (PA)","274285"
"MU","1506906","Santarém Novo (PA)","6007"
"MU","1507003","Santo Antônio do Tauá (PA)","24814"
"MU","1507102","São Caetano de Odivelas (PA)","16179"
"MU","1507151","São Domingos do Araguaia (PA)","21094"
"MU","1507201","São Domingos do Capim (PA)","27094"
"MU","1507300","São Félix do Xingu (PA)","59238"
"MU","1507409","São Francisco do Pará (PA)","11913"
"MU","1507458","São Geraldo do Araguaia (PA)","24872"
"MU","1507466","São João da Ponta (PA)","4715"
"MU","1507474","São João de Pirabas (PA)","18919"
"MU","1507508","São João do Araguaia (PA)","11673"
"MU","1507607","São Miguel do Guamá (PA)","42987"
"MU","1507706","São Sebastião da Boa Vista (PA)","20500"
"MU","1507755","Sapucaia (PA)","5117"
"MU","1507805","Senador José Porfírio (PA)","14302"
"MU","1507904","Soure (PA)","21395"
