"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Nível","Cód.","Município","Ano"
"MU","1304062","Tabatinga (AM)","64488"
"MU","1304104","Tapauá (AM)","17299"
"MU","1304203","Tefé (AM)","60154"
"MU","1304237","Tonantins (AM)","18610"
"MU","1304260","Uarini (AM)","13387"
"MU","1304302","Urucará (AM)","16383"
"MU","1304401","Urucurituba (AM)","22537"
"MU","1400027","Amajari (RR)","12394"
"MU","1400050","Alto Alegre (RR)","15638"
"MU","1400100","Boa Vista (RR)","375374"
"MU","1400159","Bonfim (RR)","12257"
"MU","1400175","Cantá (RR)","17868"
"MU","1400209","Caracaraí (RR)","21564"
"MU","1400233","Caroebe (RR)","9950"
"MU","1400282","Iracema (RR)","11600"
"MU","1400308","Mucajaí (RR)","17528"
"MU","1400407","Normandia (RR)","11045"
"MU","1400456","Pacaraima (RR)","15580"
"MU","1400472","Rorainópolis (RR)","29533"
"MU","1400506","São João da Baliza (RR)","8052"
"MU","1400605","São Luiz (RR)","7860"
"MU","1400704","Uiramutã (RR)","10325"
"MU","1500107","Abaetetuba (PA)","156292"
"MU","1500131","Abel Figueiredo (PA)","7382"
"MU","1500206","Acará (PA)","55513"
"MU","1500305","Afuá (PA)","38863"
"MU","1500347","Água Azul do Norte (PA)","27241"
"MU","1500404","Alenquer (PA)","56480"
"MU","1500503","Almeirim (PA)","34142"
"MU","1500602","Altamira (PA)","113195"
"MU","1500701","Anajás (PA)","28859"
"MU","1500800","Ananindeua (PA)","525566"
"MU","1500859","Anapu (PA)","27161"
"MU","1500909","Augusto Corrêa (PA)","45516"
"MU","1500958","Aurora do Pará (PA)","30896"
"MU","1501006","Aveiro (PA)","16371"
"MU","1501105","Bagre (PA)","30009"
"MU","1501204","Baião (PA)","46416"
"MU","1501253","Bannach (PA)","3310"
"MU","1501303","Barcarena (PA)","122294"
"MU","1501402","Belém (PA)","1485732"
"MU","1501451","Belterra (PA)","17624"
"MU","1501501","Benevides (PA)","61689"
"MU","1501576","Bom Jesus do Tocantins (PA)","16841"
"MU","1501600","Bonito (PA)","16038"
"MU","1501709","Bragança (PA)","126436"
"MU","1501725","Brasil Novo (PA)","15190"
"MU","1501758","Brejo Grande do Araguaia (PA)","7392"
"MU","1501782","Breu Branco (PA)","64738"
"MU","1501808","Breves (PA)","101891"
"MU","1501907","Bujaru (PA)","28832"
"MU","1501956","Cachoeira do Piriá (PA)","33178"
"MU","1502004","Cachoeira do Arari (PA)","23466"
"MU","1502103","Cametá (PA)","136390"
"MU","1502152","Canaã dos Carajás (PA)","36050"
"MU","1502202","Capanema (PA)","68616"
"MU","1502301","Capitão Poço (PA)","54179"
"MU","1502400","Castanhal (PA)","198294"
"MU","1502509","Chaves (PA)","23482"
"MU","1502608","Colares (PA)","12040"
"MU","1502707","Conceição do Araguaia (PA)","47734"
"MU","1502756","Concórdia do Pará (PA)","32847"
"MU","1502764","Cumaru do Norte (PA)","13179"
"MU","1502772","Curionópolis (PA)","18014"
"MU","1502806","Curralinho (PA)","33893"
"MU","1502855","Curuá (PA)","14197"
"MU","1502905","Curuçá (PA)","39540"
"MU","1502939","Dom Eliseu (PA)","58956"
"MU","1502954","Eldorado do Carajás (PA)","33674"
"MU","1503002","Faro (PA)","7319"
"MU","1503044","Floresta do Araguaia (PA)","20080"
"MU","1503077","Garrafão do Norte (PA)","26020"
"MU","1503093","Goianésia do Pará (PA)","39857"
"MU","1503101","Gurupá (PA)","32991"
"MU","1503200","Igarapé-Açu (PA)","38588"
"MU","1503309","Igarapé-Miri (PA)","62355"
"MU","1503408","Inhangapi (PA)","11559"
"MU","1503457","Ipixuna do Pará (PA)","62455"
"MU","1503507","Irituia (PA)","32504"
"MU","1503606","Itaituba (PA)","101097"
"MU","1503705","Itupiranga (PA)","53182"
"MU","1503754","Jacareacanga (PA)","8899"
"MU","1503804","Jacundá (PA)","58457"
"MU","1503903","Juruti (PA)","56908"
"MU","1504000","Limoeiro do Ajuru (PA)","28583"
"MU","1504059","Mãe do Rio (PA)","29917"
"MU","1504109","Magalhães Barata (PA)","8523"
"MU","1504208","Marabá (PA)","275086"
"MU","1504307","Maracanã (PA)","29429"
"MU","1504406","Marapanim (PA)","28220"
"MU","1504422","Marituba (PA)","129321"
"MU","1504455","Medicilândia (PA)","31213"
"MU","1504505","Melgaço (PA)","27415"
"MU","1504604","Mocajuba (PA)","30736"
"MU","1504703","Moju (PA)","80988"
"MU","1504752","Mojuí dos Campos (PA)","15982"
"MU","1504802","Monte Alegre (PA)","57900"
"MU","1504901","Muaná (PA)","39783"
"MU","1504950","Nova Esperança do Piriá (PA)","21291"
"MU","1504976","Nova Ipixuna (PA)","16499"
"MU","1505007","Nova Timboteua (PA)","15218"
"MU","1505031","Novo Progresso (PA)","25758"
"MU","1505064","Novo Repartimento (PA)","74602"
"MU","1505106","Óbidos (PA)","51964"
"MU","1505205","Oeiras do Pará (PA)","32168"
"MU","1505304","Oriximiná (PA)","72160"
"MU","1505403","Ourém (PA)","17721"
"MU","1505437","Ourilândia do Norte (PA)","32319"
"MU","1505486","Pacajá (PA)","46986"
"MU","1505494","Palestina do Pará (PA)","7596"
"MU","1505502","Paragominas (PA)","111764"
"MU","1505536","Parauapebas (PA)","202882"
"MU","1505551","Pau D'Arco (PA)","5557"
"MU","1505601","Peixe-Boi (PA)","8073"
"MU","1505635","Piçarra (PA)","12983"
"MU","1505650","Placas (PA)","30293"
"MU","1505700","Ponta de Pedras (PA)","30608"
"MU","1505809","Portel (PA)","61126"
"MU","1505908","Porto de Moz (PA)","40458"
"MU","1506005","Prainha (PA)","29886"
"MU","1506104","Primavera (PA)","10792"
"MU","1506112","Quatipuru (PA)","13512"
"MU","1506138","Redenção (PA)","83997"
"MU","1506161","Rio Maria (PA)","18186"
"MU","1506187","Rondon do Pará (PA)","51903"
"MU","1506195","Rurópolis (PA)","49503"
"MU","1506203","Salinópolis (PA)","40424"
"MU","1506302","Salvaterra (PA)","23424"
"MU","1506351","Santa Bárbara do Pará (PA)","20704"
"MU","1506401","Santa Cruz do Arari (PA)","9939"
"MU","1506500","Santa Izabel do Pará (PA)","69746"
"MU","1506559","Santa Luzia do Pará (PA)","19852"
"MU","1506583","Santa Maria das Barreiras (PA)","21042"
"MU","1506609","Santa Maria do Pará (PA)","24725"
"MU","1506708","Santana do Araguaia (PA)","71187"
"MU","1506807","Santarém (PA)","302667"
"MU","1506906","Santarém Novo (PA)","6664"
"MU","1507003","Santo Antônio do Tauá (PA)","31038"
"MU","1507102","São Caetano de Odivelas (PA)","17970"
"MU","1507151","São Domingos do Araguaia (PA)","25358"
"MU","1507201","São Domingos do Capim (PA)","31837"
"MU","1507300","São Félix do Xingu (PA)","124763"
"MU","1507409","São Francisco do Pará (PA)","15833"
"MU","1507458","São Geraldo do Araguaia (PA)","24991"
"MU","1507466","São João da Ponta (PA)","6059"
"MU","1507474","São João de Pirabas (PA)","22842"
"MU","1507508","São João do Araguaia (PA)","13940"
"MU","1507607","São Miguel do Guamá (PA)","58328"
"MU","1507706","São Sebastião da Boa Vista (PA)","26301"
"MU","1507755","Sapucaia (PA)","5849"
"MU","1507805","Senador José Porfírio (PA)","11839"
"MU","1507904","Soure (PA)","25181"
"MU","1507953","Tailândia (PA)","103664"
"MU","1507961","Terra Alta (PA)","11591"
"MU","1507979","Terra Santa (PA)","18619"
"MU","1508001","Tomé-Açu (PA)","62854"
"MU","1508035","Tracuateua (PA)","30656"
"MU","1508050","Trairão (PA)","18807"
"MU","1508084","Tucumã (PA)","39059"
"MU","1508100","Tucuruí (PA)","112148"
"MU","1508126","Ulianópolis (PA)","57632"
"MU","1508159","Uruará (PA)","45517"
"MU","1508209","Vigia (PA)","53191"
"MU","1508308","Viseu (PA)","61049"
"MU","1508357","Vitória do Xingu (PA)","14987"
"MU","1508407","Xinguara (PA)","44410"
"MU","1600055","Serra do Navio (AP)","5306"
"MU","1600105","Amapá (AP)","9029"
"MU","1600154","Pedra Branca do Amapari (AP)","15931"
"MU","1600204","Calçoene (AP)","10926"
"MU","1600212","Cutias (AP)","5864"
"MU","1600238","Ferreira Gomes (AP)","7591"
"MU","1600253","Itaubal (AP)","5387"
"MU","1600279","Laranjal do Jari (AP)","49446"
"MU","1600303","Macapá (AP)","493634"
"MU","1600402","Mazagão (AP)","21206"
"MU","1600501","Oiapoque (AP)","26627"
"MU","1600535","Porto Grande (AP)","21484"
"MU","1600550","Pracuúba (AP)","4993"
"MU","1600600","Santana (AP)","119610"
"MU","1600709","Tartarugalzinho (AP)","16855"
"MU","1600808","Vitória do Jari (AP)","15605"
"MU","1700251","Abreulândia (TO)","2564"
"MU","1700301","Aguiarnópolis (TO)","6572"
"MU","1700350","Aliança do Tocantins (TO)","5434"
"MU","1700400","Almas (TO)","7131"
"MU","1700707","Alvorada (TO)","8427"
"MU","1701002","Ananás (TO)","9607"
"MU","1701051","Angico (TO)","3417"
"MU","1701101","Aparecida do Rio Negro (TO)","4741"
"MU","1701309","Aragominas (TO)","5786"
"MU","1701903","Araguacema (TO)","7016"
"MU","1702000","Araguaçu (TO)","8567"
"MU","1702109","Araguaína (TO)","177517"
"MU","1702158","Araguanã (TO)","5663"
"MU","1702208","Araguatins (TO)","35346"
"MU","1702307","Arapoema (TO)","6670"
"MU","1702406","Arraias (TO)","10601"
"MU","1702554","Augustinópolis (TO)","18178"
"MU","1702703","Aurora do Tocantins (TO)","3731"
"MU","1702901","Axixá do Tocantins (TO)","9725"
"MU","1703008","Babaçulândia (TO)","10662"
"MU","1703057","Bandeirantes do Tocantins (TO)","3512"
"MU","1703073","Barra do Ouro (TO)","4549"
"MU","1703107","Barrolândia (TO)","5614"
"MU","1703206","Bernardo Sayão (TO)","4469"
"MU","1703305","Bom Jesus do Tocantins (TO)","4779"
"MU","1703602","Brasilândia do Tocantins (TO)","2191"
"MU","1703701","Brejinho de Nazaré (TO)","5475"
"MU","1703800","Buriti do Tocantins (TO)","11197"
"MU","1703826","Cachoeirinha (TO)","2266"
"MU","1703842","Campos Lindos (TO)","9917"
"MU","1703867","Cariri do Tocantins (TO)","4321"
"MU","1703883","Carmolândia (TO)","2556"
"MU","1703891","Carrasco Bonito (TO)","4059"
"MU","1703909","Caseara (TO)","5295"
"MU","1704105","Centenário (TO)","2874"
"MU","1704600","Chapada de Areia (TO)","1401"
"MU","1705102","Chapada da Natividade (TO)","3334"
"MU","1705508","Colinas do Tocantins (TO)","34990"
"MU","1705557","Combinado (TO)","4843"
"MU","1705607","Conceição do Tocantins (TO)","4124"
"MU","1706001","Couto Magalhães (TO)","5536"
"MU","1706100","Cristalândia (TO)","7300"
"MU","1706258","Crixás do Tocantins (TO)","1708"
"MU","1706506","Darcinópolis (TO)","6018"
"MU","1707009","Dianópolis (TO)","21850"
"MU","1707108","Divinópolis do Tocantins (TO)","6856"
"MU","1707207","Dois Irmãos do Tocantins (TO)","7211"
"MU","1707306","Dueré (TO)","4687"
"MU","1707405","Esperantina (TO)","10851"
"MU","1707553","Fátima (TO)","3841"
"MU","1707652","Figueirópolis (TO)","5284"
"MU","1707702","Filadélfia (TO)","8837"
"MU","1708205","Formoso do Araguaia (TO)","18482"
"MU","1708254","Fortaleza do Tabocão (TO)","2576"
"MU","1708304","Goianorte (TO)","5116"
"MU","1709005","Goiatins (TO)","12942"
"MU","1709302","Guaraí (TO)","25677"
"MU","1709500","Gurupi (TO)","85737"
"MU","1709807","Ipueiras (TO)","1977"
"MU","1710508","Itacajá (TO)","7414"
"MU","1710706","Itaguatins (TO)","5896"
"MU","1710904","Itapiratins (TO)","3758"
"MU","1711100","Itaporã do Tocantins (TO)","2435"
"MU","1711506","Jaú do Tocantins (TO)","3819"
"MU","1711803","Juarina (TO)","2202"
"MU","1711902","Lagoa da Confusão (TO)","13034"
"MU","1711951","Lagoa do Tocantins (TO)","4237"
"MU","1712009","Lajeado (TO)","3101"
"MU","1712157","Lavandeira (TO)","1892"
"MU","1712405","Lizarda (TO)","3748"
"MU","1712454","Luzinópolis (TO)","3060"
"MU","1712504","Marianópolis do Tocantins (TO)","5094"
"MU","1712702","Mateiros (TO)","2638"
"MU","1712801","Maurilândia do Tocantins (TO)","3403"
"MU","1713205","Miracema do Tocantins (TO)","18566"
"MU","1713304","Miranorte (TO)","13375"
"MU","1713601","Monte do Carmo (TO)","7827"
"MU","1713700","Monte Santo do Tocantins (TO)","2263"
"MU","1713809","Palmeiras do Tocantins (TO)","6570"
"MU","1713957","Muricilândia (TO)","3514"
"MU","1714203","Natividade (TO)","9239"
"MU","1714302","Nazaré (TO)","3959"
"MU","1714880","Nova Olinda (TO)","11719"
"MU","1715002","Nova Rosalândia (TO)","4215"
"MU","1715101","Novo Acordo (TO)","4287"
"MU","1715150","Novo Alegre (TO)","2332"
"MU","1715259","Novo Jardim (TO)","2698"
"MU","1715507","Oliveira de Fátima (TO)","1106"
"MU","1715705","Palmeirante (TO)","5919"
"MU","1715754","Palmeirópolis (TO)","7641"
"MU","1716109","Paraíso do Tocantins (TO)","50602"
"MU","1716208","Paranã (TO)","10461"
"MU","1716307","Pau D'Arco (TO)","4831"
"MU","1716505","Pedro Afonso (TO)","13380"
"MU","1716604","Peixe (TO)","11623"
"MU","1716653","Pequizeiro (TO)","5443"
"MU","1716703","Colméia (TO)","8270"
"MU","1717008","Pindorama do Tocantins (TO)","4464"
"MU","1717206","Piraquê (TO)","3023"
"MU","1717503","Pium (TO)","7564"
"MU","1717800","Ponte Alta do Bom Jesus (TO)","4601"
"MU","1717909","Ponte Alta do Tocantins (TO)","7961"
"MU","1718006","Porto Alegre do Tocantins (TO)","3108"
"MU","1718204","Porto Nacional (TO)","52700"
"MU","1718303","Praia Norte (TO)","8365"
"MU","1718402","Presidente Kennedy (TO)","3692"
"MU","1718451","Pugmil (TO)","2659"
"MU","1718501","Recursolândia (TO)","4244"
"MU","1718550","Riachinho (TO)","4604"
"MU","1718659","Rio da Conceição (TO)","2088"
"MU","1718709","Rio dos Bois (TO)","2811"
"MU","1718758","Rio Sono (TO)","6468"
"MU","1718808","Sampaio (TO)","4627"
"MU","1718840","Sandolândia (TO)","3378"
"MU","1718865","Santa Fé do Araguaia (TO)","7426"
"MU","1718881","Santa Maria do Tocantins (TO)","3381"
"MU","1718899","Santa Rita do Tocantins (TO)","2344"
"MU","1718907","Santa Rosa do Tocantins (TO)","4811"
"MU","1719004","Santa Tereza do Tocantins (TO)","2834"
"MU","1720002","Santa Terezinha do Tocantins (TO)","2528"
"MU","1720101","São Bento do Tocantins (TO)","5256"
"MU","1720150","São Félix do Tocantins (TO)","1572"
"MU","1720200","São Miguel do Tocantins (TO)","11967"
"MU","1720259","São Salvador do Tocantins (TO)","3070"
"MU","1720309","São Sebastião do Tocantins (TO)","4757"
"MU","1720499","São Valério (TO)","4017"
"MU","1720655","Silvanópolis (TO)","5378"
"MU","1720804","Sítio Novo do Tocantins (TO)","9078"
"MU","1720853","Sucupira (TO)","1946"
"MU","1720903","Taguatinga (TO)","16538"
"MU","1720937","Taipas do Tocantins (TO)","2131"
"MU","1720978","Talismã (TO)","2773"
"MU","1721000","Palmas (TO)","291855"
"MU","1721109","Tocantínia (TO)","7471"
"MU","1721208","Tocantinópolis (TO)","22896"
"MU","1721257","Tupirama (TO)","1860"
"MU","1721307","Tupiratins (TO)","2613"
"MU","1722081","Wanderlândia (TO)","11631"
"MU","1722107","Xambioá (TO)","11561"
"MU","2100055","Açailândia (MA)","111757"
"MU","2100105","Afonso Cunha (MA)","6469"
"MU","2100154","Água Doce do Maranhão (MA)","12488"
"MU","2100204","Alcântara (MA)","22083"
"MU","2100303","Aldeias Altas (MA)","26302"
"MU","2100402","Altamira do Maranhão (MA)","8066"
"MU","2100436","Alto Alegre do Maranhão (MA)","26839"
"MU","2100477","Alto Alegre do Pindaré (MA)","31894"
"MU","2100501","Alto Parnaíba (MA)","11168"
"MU","2100550","Amapá do Maranhão (MA)","6918"
"MU","2100600","Amarante do Maranhão (MA)","41136"
"MU","2100709","Anajatuba (MA)","26614"
"MU","2100808","Anapurus (MA)","15566"
"MU","2100832","Apicum-Açu (MA)","17063"
"MU","2100873","Araguanã (MA)","15297"
"MU","2100907","Araioses (MA)","46103"
"MU","2100956","Arame (MA)","32637"
"MU","2101004","Arari (MA)","29764"
"MU","2101103","Axixá (MA)","12076"
"MU","2101202","Bacabal (MA)","104633"
"MU","2101251","Bacabeira (MA)","16855"
"MU","2101301","Bacuri (MA)","18508"
"MU","2101350","Bacurituba (MA)","5617"
"MU","2101400","Balsas (MA)","93826"
"MU","2101509","Barão de Grajaú (MA)","18714"
"MU","2101608","Barra do Corda (MA)","87794"
"MU","2101707","Barreirinhas (MA)","61828"
"MU","2101731","Belágua (MA)","7409"
"MU","2101772","Bela Vista do Maranhão (MA)","11138"
"MU","2101806","Benedito Leite (MA)","5627"
"MU","2101905","Bequimão (MA)","21260"
"MU","2101939","Bernardo do Mearim (MA)","6011"
"MU","2101970","Boa Vista do Gurupi (MA)","9158"
"MU","2102002","Bom Jardim (MA)","41435"
"MU","2102036","Bom Jesus das Selvas (MA)","33479"
"MU","2102077","Bom Lugar (MA)","16148"
"MU","2102101","Brejo (MA)","36139"
"MU","2102150","Brejo de Areia (MA)","9367"
"MU","2102200","Buriti (MA)","28557"
"MU","2102309","Buriti Bravo (MA)","23827"
"MU","2102325","Buriticupu (MA)","71723"
"MU","2102358","Buritirana (MA)","15393"
"MU","2102374","Cachoeira Grande (MA)","9382"
"MU","2102408","Cajapió (MA)","11136"
"MU","2102507","Cajari (MA)","19307"
"MU","2102556","Campestre do Maranhão (MA)","14294"
"MU","2102606","Cândido Mendes (MA)","20076"
"MU","2102705","Cantanhede (MA)","21872"
"MU","2102754","Capinzal do Norte (MA)","10932"
"MU","2102804","Carolina (MA)","24337"
"MU","2102903","Carutapera (MA)","23658"
"MU","2103000","Caxias (MA)","164224"
"MU","2103109","Cedral (MA)","10657"
"MU","2103125","Central do Maranhão (MA)","8604"
"MU","2103158","Centro do Guilherme (MA)","13243"
"MU","2103174","Centro Novo do Maranhão (MA)","21399"
"MU","2103208","Chapadinha (MA)","79145"
"MU","2103257","Cidelândia (MA)","14617"
"MU","2103307","Codó (MA)","122597"
"MU","2103406","Coelho Neto (MA)","49246"
"MU","2103505","Colinas (MA)","41042"
"MU","2103554","Conceição do Lago-Açu (MA)","16072"
"MU","2103604","Coroatá (MA)","65044"
"MU","2103703","Cururupu (MA)","32765"
"MU","2103752","Davinópolis (MA)","12901"
"MU","2103802","Dom Pedro (MA)","23328"
"MU","2103901","Duque Bacelar (MA)","11296"
"MU","2104008","Esperantinópolis (MA)","17379"
"MU","2104057","Estreito (MA)","41355"
"MU","2104073","Feira Nova do Maranhão (MA)","8481"
"MU","2104081","Fernando Falcão (MA)","10258"
"MU","2104099","Formosa da Serra Negra (MA)","18917"
"MU","2104107","Fortaleza dos Nogueiras (MA)","12615"
"MU","2104206","Fortuna (MA)","15536"
"MU","2104305","Godofredo Viana (MA)","11672"
"MU","2104404","Gonçalves Dias (MA)","17924"
"MU","2104503","Governador Archer (MA)","10793"
"MU","2104552","Governador Edison Lobão (MA)","18068"
"MU","2104602","Governador Eugênio Barros (MA)","16772"
"MU","2104628","Governador Luiz Rocha (MA)","7772"
"MU","2104651","Governador Newton Bello (MA)","10211"
"MU","2104677","Governador Nunes Freire (MA)","25616"
"MU","2104701","Graça Aranha (MA)","6263"
"MU","2104800","Grajaú (MA)","68876"
"MU","2104909","Guimarães (MA)","12063"
"MU","2105005","Humberto de Campos (MA)","28498"
"MU","2105104","Icatu (MA)","26953"
"MU","2105153","Igarapé do Meio (MA)","14026"
"MU","2105203","Igarapé Grande (MA)","11252"
"MU","2105302","Imperatriz (MA)","258016"
"MU","2105351","Itaipava do Grajaú (MA)","15897"
"MU","2105401","Itapecuru Mirim (MA)","67673"
"MU","2105427","Itinga do Maranhão (MA)","25932"
"MU","2105450","Jatobá (MA)","9993"
"MU","2105476","Jenipapo dos Vieiras (MA)","16432"
"MU","2105500","João Lisboa (MA)","23696"
"MU","2105609","Joselândia (MA)","16136"
"MU","2105658","Junco do Maranhão (MA)","3506"
"MU","2105708","Lago da Pedra (MA)","49911"
"MU","2105807","Lago do Junco (MA)","10808"
"MU","2105906","Lago Verde (MA)","16199"
"MU","2105922","Lagoa do Mato (MA)","11235"
"MU","2105948","Lago dos Rodrigues (MA)","8889"
"MU","2105963","Lagoa Grande do Maranhão (MA)","11320"
"MU","2105989","Lajeado Novo (MA)","7496"
"MU","2106003","Lima Campos (MA)","11867"
"MU","2106102","Loreto (MA)","12098"
"MU","2106201","Luís Domingues (MA)","6917"
"MU","2106300","Magalhães de Almeida (MA)","19620"
"MU","2106326","Maracaçumé (MA)","21201"
"MU","2106359","Marajá do Sena (MA)","7810"
"MU","2106375","Maranhãozinho (MA)","16013"
"MU","2106409","Mata Roma (MA)","16679"
"MU","2106508","Matinha (MA)","23256"
"MU","2106607","Matões (MA)","33615"
"MU","2106631","Matões do Norte (MA)","16451"
"MU","2106672","Milagres do Maranhão (MA)","8445"
"MU","2106706","Mirador (MA)","21000"
"MU","2106755","Miranda do Norte (MA)","28001"
"MU","2106805","Mirinzal (MA)","14913"
"MU","2106904","Monção (MA)","33201"
"MU","2107001","Montes Altos (MA)","9209"
"MU","2107100","Morros (MA)","19292"
"MU","2107209","Nina Rodrigues (MA)","14264"
